text,label
Please check email yup shop,ham
Call me when you are free 2,ham
Call me when you are free 14 ok,ham
On my way done,ham
Thanks for your help bus,ham
STOP CONGRATS NOW VOUCHER EXCLUSIVE CONGRATS DEAL CLICK,spam
Meeting moved to tomorrow 6 please,ham
Good night 26 sure,ham
Please check email 3,ham
Happy birthday! yup,ham
On my way,ham
Lunch at 1 pm works 6 thanks,ham
Meeting moved to tomorrow,ham
$$$ CLAIM http://bit.ly/ OFFER CLAIM GUARANTEED PRIZE 32818,spam
Can you send the file? 8,ham
Happy birthday! 5,ham
Meeting moved to tomorrow office,ham
Reached home thanks,ham
Good night,ham
Thanks for your help 23,ham
I'll be late by 10 minutes,ham
Meeting moved to tomorrow please,ham
Happy birthday! shop,ham
Lunch at 1 pm works thanks bus,ham
ACT STOP CLICK $$$ STOP EXCLUSIVE HTTP://BIT.LY/ PRIZE HTTP://OFFER. EXCLUSIVE URGENT WIN DEAL 43657,spam
Good night,ham
Reached home,ham
Reached home 16,ham
On my way,ham
Good night,ham
Please check email 21,ham
NOW http://offer. sms $$$ CONGRATS GIFT LIMITED 100% CASH CLICK PRIZE GIFT NOW,spam
Call me when you are free office,ham
Happy birthday! thanks,ham
See you soon 29 yup,ham
On my way,ham
VOUCHER FREE CLICK PRIZE FREE CLICK OFFER CASH LIMITED GIFT OFFER CLICK FREE 45839,spam
Good night ok,ham
Where are you? 13 office,ham
I'll be late by 10 minutes 4,ham
BONUS ACT WIN 100% DISCOUNT $$$ DISCOUNT LOTTERY FREE,spam
STOP EXCLUSIVE OFFER HTTP://BIT.LY/ $$$ REPLY IMMEDIATELY 15017,spam
CLAIM NOW 100% LOTTERY URGENT CLICK sms STOP GIFT,spam
VOUCHER LOTTERY VOUCHER CONGRATS EXCLUSIVE ACT VOUCHER LOTTERY LOTTERY LOTTERY ACT 85778,spam
Reached home sure office,ham
Where are you? done gym,ham
VOUCHER CLICK REPLY DISCOUNT REPLY SMS SMS EXCLUSIVE $$$ STOP CLICK WIN LIMITED IMMEDIATELY CONGRATS CASH EXCLUSIVE 57994,spam
CASH GUARANTEED VOUCHER WIN CLAIM VOUCHER CASH reply URGENT LIMITED VOUCHER http://bit.ly/ GUARANTEED 84698,spam
Where are you? 24,ham
On my way sure gym,ham
Reached home 27 sure class,ham
Meeting moved to tomorrow 4 yup,ham
Call me when you are free home,ham
Let's catch up later 2,ham
Thanks for your help thanks,ham
Please check email 5,ham
On my way 7 yup,ham
Happy birthday! 21 thanks,ham
NOW ACT PRIZE BONUS NOW WIN 100% FREE STOP CASH BONUS CASH BONUS 61478,spam
Good night,ham
Where are you? 16 yup,ham
Let's catch up later class,ham
See you soon sure office,ham
Good night 25,ham
VOUCHER DISCOUNT $$$ VOUCHER STOP PRIZE WIN 1440,spam
Lunch at 1 pm works yup,ham
Thanks for your help yup,ham
Are we meeting today? 19 thanks office,ham
Let's catch up later 30 yup,ham
Please check email done,ham
On my way 1 yup gym,ham
Meeting moved to tomorrow sure class,ham
Lunch at 1 pm works yup,ham
Call me when you are free shop,ham
Are we meeting today? sure class,ham
Happy birthday! sure,ham
Thanks for your help 2 thanks,ham
Are we meeting today? done,ham
Can you send the file? 8 sure bus,ham
Meeting moved to tomorrow,ham
Are we meeting today? 5 bus,ham
Can you send the file? thanks,ham
Can you send the file? sure,ham
BONUS LIMITED GUARANTEED CONGRATS FREE LIMITED GUARANTEED DISCOUNT EXCLUSIVE 27167,spam
See you soon 3,ham
I'll be late by 10 minutes 18 bus,ham
HTTP://OFFER. OFFER GUARANTEED STOP REPLY EXCLUSIVE GUARANTEED HTTP://OFFER. HTTP://BIT.LY/ SMS HTTP://BIT.LY/ CLAIM GUARANTEED CLAIM,spam
Happy birthday! 16,ham
On my way gym,ham
Reached home,ham
IMMEDIATELY IMMEDIATELY WIN ACT STOP 100% URGENT SMS HOT WIN 13700,spam
Reached home 3 class,ham
Can you send the file?,ham
100% IMMEDIATELY HTTP://OFFER. DISCOUNT HOT VOUCHER HTTP://OFFER. PRIZE CLICK CASH DEAL URGENT LIMITED HTTP://BIT.LY/ BONUS LOTTERY FREE 23443,spam
DEAL 100% GIFT PRIZE HTTP://BIT.LY/ DISCOUNT GIFT BONUS OFFER SMS 100% IMMEDIATELY CLAIM $$$ CONGRATS VOUCHER DISCOUNT 23496,spam
Meeting moved to tomorrow 1 gym,ham
Please check email 9 bus,ham
Thanks for your help 20,ham
Reached home office,ham
Lunch at 1 pm works 4 shop,ham
Thanks for your help 16,ham
Call me when you are free 21 home,ham
Thanks for your help ok,ham
On my way ok class,ham
LOTTERY BONUS LIMITED CLICK NOW GUARANTEED PRIZE 31655,spam
Let's catch up later done bus,ham
Thanks for your help 11 yup,ham
NOW REPLY LIMITED $$$ 100% HTTP://BIT.LY/ FREE GIFT EXCLUSIVE HTTP://BIT.LY/ URGENT NOW OFFER 100% REPLY LOTTERY 89013,spam
See you soon 7 home,ham
HTTP://BIT.LY/ GUARANTEED ACT STOP 100% HTTP://OFFER. $$$ CLAIM WIN ACT 100% REPLY HOT EXCLUSIVE EXCLUSIVE PRIZE 90582,spam
Happy birthday! 28 thanks shop,ham
Are we meeting today? 22 ok gym,ham
Meeting moved to tomorrow,ham
Meeting moved to tomorrow 18 please,ham
Let's catch up later 1 office,ham
Thanks for your help 12 sure,ham
See you soon 2,ham
Reached home thanks home,ham
Meeting moved to tomorrow 24 bus,ham
CASH http://offer. VOUCHER CONGRATS LOTTERY IMMEDIATELY OFFER 28045,spam
Meeting moved to tomorrow 11 ok shop,ham
Reached home 3 gym,ham
Thanks for your help done,ham
Lunch at 1 pm works 30 ok,ham
Reached home 6,ham
See you soon 30 shop,ham
CLAIM VOUCHER SMS URGENT CLICK EXCLUSIVE WIN LOTTERY 65629,spam
Let's catch up later 18 class,ham
Good night 16,ham
Call me when you are free 21 done home,ham
Lunch at 1 pm works yup,ham
Meeting moved to tomorrow 5 done,ham
http://bit.ly/ sms VOUCHER CLICK GIFT LOTTERY 48849,spam
Please check email class,ham
CONGRATS STOP LOTTERY OFFER ACT ACT 100% sms $$$ LOTTERY NOW sms CONGRATS http://offer. EXCLUSIVE WIN DISCOUNT 14145,spam
Thanks for your help 1 class,ham
I'll be late by 10 minutes,ham
Call me when you are free 29,ham
Let's catch up later 9 ok,ham
Let's catch up later sure,ham
Where are you? yup gym,ham
Good night,ham
http://offer. reply PRIZE ACT PRIZE URGENT NOW IMMEDIATELY VOUCHER http://offer. NOW ACT 100% reply CLICK GUARANTEED 9392,spam
Reached home 15 shop,ham
CLAIM DISCOUNT IMMEDIATELY LIMITED sms IMMEDIATELY 98672,spam
See you soon,ham
Are we meeting today? 13,ham
Where are you? 9,ham
Meeting moved to tomorrow 28 bus,ham
IMMEDIATELY $$$ OFFER GIFT $$$ HTTP://OFFER. ACT IMMEDIATELY HTTP://OFFER. IMMEDIATELY STOP PRIZE BONUS 47722,spam
Happy birthday! please class,ham
On my way done,ham
See you soon office,ham
Reached home 14,ham
Meeting moved to tomorrow thanks,ham
Reached home,ham
GUARANTEED GUARANTEED DISCOUNT CASH DEAL $$$ GIFT CASH DEAL SMS URGENT LOTTERY GUARANTEED LIMITED DEAL DEAL CLICK 41369,spam
Reached home done office,ham
Thanks for your help 1,ham
Good night please,ham
See you soon thanks class,ham
On my way ok class,ham
Thanks for your help,ham
Thanks for your help 25 done home,ham
On my way 6 yup gym,ham
Where are you? 28 done,ham
Thanks for your help 19 gym,ham
Let's catch up later,ham
Good night 25,ham
Where are you? 28,ham
Can you send the file? ok gym,ham
Where are you? 13 thanks gym,ham
Where are you? gym,ham
Call me when you are free 20 thanks bus,ham
Good night 16 sure office,ham
Can you send the file? 17 shop,ham
CASH http://bit.ly/ reply ACT reply WIN IMMEDIATELY VOUCHER 54972,spam
100% DEAL LOTTERY $$$ IMMEDIATELY CLAIM FREE CONGRATS $$$ FREE WIN CLAIM 43194,spam
Where are you? 19,ham
Thanks for your help 5 thanks,ham
Where are you?,ham
VOUCHER FREE STOP GIFT CLICK HOT CONGRATS FREE 100% CLAIM DEAL http://offer. ACT 67489,spam
Are we meeting today? gym,ham
Good night 15 thanks bus,ham
Reached home 8 office,ham
Happy birthday! 28,ham
Call me when you are free 15 ok home,ham
Good night,ham
Lunch at 1 pm works 22,ham
Are we meeting today? 15 thanks home,ham
See you soon bus,ham
Good night 29 class,ham
Where are you? shop,ham
I'll be late by 10 minutes sure,ham
Are we meeting today?,ham
Please check email 23 yup bus,ham
Reached home gym,ham
Can you send the file? home,ham
Reached home,ham
Thanks for your help 30 home,ham
Happy birthday! yup class,ham
Call me when you are free thanks office,ham
URGENT URGENT LIMITED FREE FREE BONUS FREE LIMITED EXCLUSIVE FREE ACT 62502,spam
Call me when you are free,ham
FREE WIN URGENT HTTP://OFFER. DISCOUNT DEAL 37744,spam
On my way 4,ham
STOP VOUCHER IMMEDIATELY DEAL HOT ACT DISCOUNT IMMEDIATELY sms 18827,spam
On my way,ham
Call me when you are free sure,ham
Are we meeting today? 23 done,ham
LIMITED CONGRATS $$$ FREE STOP IMMEDIATELY HTTP://OFFER. 10279,spam
See you soon 17,ham
Lunch at 1 pm works,ham
See you soon 29 class,ham
On my way yup shop,ham
Are we meeting today?,ham
See you soon thanks office,ham
Please check email 18 thanks,ham
Meeting moved to tomorrow 19 shop,ham
ACT OFFER STOP GUARANTEED $$$ VOUCHER DISCOUNT,spam
OFFER OFFER HTTP://OFFER. CONGRATS CLICK LOTTERY PRIZE SMS REPLY CLAIM OFFER VOUCHER PRIZE 98543,spam
Let's catch up later 27 office,ham
Let's catch up later 7 class,ham
NOW EXCLUSIVE OFFER http://bit.ly/ CASH GUARANTEED GIFT GUARANTEED DISCOUNT LOTTERY GUARANTEED IMMEDIATELY DISCOUNT BONUS LIMITED 28953,spam
On my way done,ham
I'll be late by 10 minutes 12 sure gym,ham
Meeting moved to tomorrow 27,ham
DISCOUNT DEAL PRIZE PRIZE URGENT OFFER ACT IMMEDIATELY EXCLUSIVE 29652,spam
Good night 16 gym,ham
Please check email gym,ham
Call me when you are free please shop,ham
URGENT FREE LOTTERY CLICK DEAL GIFT DISCOUNT FREE HOT BONUS 100% PRIZE NOW WIN NOW sms 49592,spam
Let's catch up later 8 yup,ham
Reached home 19 done,ham
DEAL FREE $$$ BONUS LOTTERY CLICK HOT http://bit.ly/ EXCLUSIVE LOTTERY sms 100% CLAIM EXCLUSIVE STOP BONUS FREE,spam
On my way 26 ok shop,ham
Happy birthday! 3 ok bus,ham
Can you send the file? 23,ham
DEAL CASH ACT WIN DEAL URGENT 10522,spam
Meeting moved to tomorrow,ham
Are we meeting today?,ham
EXCLUSIVE NOW WIN DEAL $$$ GUARANTEED VOUCHER IMMEDIATELY VOUCHER BONUS LIMITED URGENT REPLY HOT 18316,spam
Call me when you are free 8 sure,ham
Can you send the file? home,ham
Happy birthday! 14 gym,ham
Happy birthday! sure,ham
Where are you? 3,ham
